SK_ID_CURR,AGE,NAME_EDUCATION_TYPE,OCCUPATION_TYPE,DAYS_EMPLOYED,AMT_INCOME_TOTAL,NAME_CONTRACT_TYPE,AMT_CREDIT,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,TARGET
100002,26,Secondary / secondary special,Laborers,637,202500,Cash loans,406597,0.0830369673913225,0.2629485927471776,0.1393757800997895,1
100019,24,Secondary / secondary special,Laborers,1157,157500,Cash loans,299772,0.1156343372622997,0.34663398139668,0.6785676886853644,0
100080,33,Secondary / secondary special,Sales staff,3154,157500,Revolving loans,450000,0.4115064104251909,0.1238882922844139,0.8327850252992314,0
100111,29,Secondary / secondary special,Sales staff,1249,112500,Cash loans,862560,0.5633231337420023,0.608604105963283,0.228883416700673,0
100179,31,Higher education,Managers,2311,202500,Cash loans,675000,0.6748315126672113,0.6161564242321512,0.6738300778602003,0
100196,32,Higher education,Secretaries,2331,164250,Cash loans,755190,0.5925473429253104,0.593340422792271,0.3031463744186309,0
100213,38,Secondary / secondary special,Laborers,1282,49500,Cash loans,278460,0.5497171405900174,0.4953660887502677,0.5814837058057234,0
100228,38,Secondary / secondary special,Laborers,410,121500,Cash loans,1102500,0.7410963179186301,0.4088706121454352,0.4258928980051529,0
100249,42,Secondary / secondary special,Laborers,5317,67500,Cash loans,76410,0.6364982706931857,0.0934453265892372,0.5190973382084597,0
100319,32,Higher education,Unknown,782,135000,Cash loans,781920,0.6533675812543797,0.5652898364253501,0.4956658291397297,0
100333,29,Incomplete higher,Core staff,864,382500,Cash loans,450000,0.5038059458460179,0.5885936894845518,0.3092753558842053,0
100341,56,Secondary / secondary special,Laborers,7115,76500,Cash loans,545040,0.660390355516301,0.6473727821815991,0.3154721549257734,0
100366,32,Higher education,Managers,3144,765000,Revolving loans,1350000,0.4217648307037876,0.7659810473713963,0.511891801533151,0
100391,50,Secondary / secondary special,Sales staff,497,153000,Cash loans,808650,0.6350347077546292,0.4581525181168522,0.8327850252992314,0
100429,42,Secondary / secondary special,Laborers,936,180000,Cash loans,629325,0.1770975829044786,0.2629952143123565,0.0902209392907684,0
100455,32,Higher education,Core staff,3443,135000,Cash loans,830214,0.1833792049947742,0.7238600003643091,0.7032033049040319,0
100479,26,Secondary / secondary special,Laborers,189,90000,Revolving loans,180000,0.0849019249776908,0.5735838084148978,0.4525335592581747,0
100497,25,Secondary / secondary special,Low-skill Laborers,401,135000,Revolving loans,180000,0.3016356056348968,0.7192954712452143,0.7295666907060153,0
100531,34,Higher education,Core staff,589,112500,Cash loans,904500,0.3607259964111952,0.6574734264340084,0.4170996682522097,0
100538,44,Secondary / secondary special,Security staff,3031,157500,Cash loans,450000,0.456316903365057,0.4131107931387085,0.0932250953774744,0
100540,25,Secondary / secondary special,Medicine staff,1003,157500,Cash loans,338832,0.0406839020712861,0.3065058156503732,0.3962195720630885,1
100595,43,Secondary / secondary special,Realty agents,990,247500,Cash loans,450000,0.4762887394510871,0.5625096216720853,0.5744466170995097,0
100630,26,Higher education,Laborers,797,202500,Cash loans,675000,0.3260915867569756,0.7562046572029202,0.3706496323299817,0
100638,37,Secondary / secondary special,Laborers,1401,135000,Cash loans,203760,0.2758026623178325,0.3286789964215449,0.6545292802242897,0
100678,29,Higher education,High skill tech staff,854,184500,Cash loans,1078200,0.2913389437488164,0.4726019397886651,0.4830501881366946,0
100738,30,Secondary / secondary special,Laborers,1849,135000,Revolving loans,180000,0.49973984404142,0.4351975604940637,0.3723336657058204,0
100761,32,Higher education,Realty agents,215,225000,Cash loans,225000,0.486642866632436,0.5913549929618737,0.6212263380626669,0
100778,50,Secondary / secondary special,Drivers,2711,202500,Cash loans,1006920,0.5357022004358923,0.6176861367458096,0.5531646987710016,0
100788,28,Higher education,Core staff,996,112500,Cash loans,450000,0.6945589258363822,0.7058112564168807,0.4740512892789932,0
100814,59,Secondary / secondary special,Core staff,4110,126000,Cash loans,942300,0.8847804287716508,0.7704896298341007,0.7958031328748403,0
100861,39,Secondary / secondary special,Private service staff,5632,306000,Cash loans,2085120,0.3257575592060776,0.6361623696784523,0.3409064264152384,0
100871,22,Secondary / secondary special,Sales staff,300,90288,Cash loans,405000,0.0677130057067558,0.4679933005824503,0.1674084472266241,0
100889,34,Higher education,HR staff,5557,450000,Revolving loans,855000,0.7628813154373115,0.7415931598648732,0.8633633824101478,0
100905,36,Secondary / secondary special,Core staff,143,252000,Revolving loans,180000,0.5848895153803998,0.5708485084212848,0.3807996826489149,0
100917,42,Secondary / secondary special,Sales staff,2258,108000,Cash loans,760225,0.8400873603459397,0.0362202279998554,0.4794489811780563,0
100935,34,Higher education,High skill tech staff,960,225000,Cash loans,644427,0.1992170096488218,0.7296613543091935,0.6092756673894402,0
100943,44,Secondary / secondary special,Sales staff,402,135000,Cash loans,189621,0.4628592237288837,0.6631336513521565,0.3689687382528466,0
100968,30,Secondary / secondary special,Sales staff,1516,90000,Cash loans,1035832,0.2783452148951173,0.3585684988353451,0.7209441499436497,0
101018,44,Higher education,Managers,8506,238500,Cash loans,834048,0.4929869171101093,0.2776404168967356,0.5814837058057234,0
101060,38,Higher education,Unknown,1164,270000,Cash loans,1546020,0.2519467605755262,0.5893824548994699,0.622922000268356,0
101096,24,Secondary / secondary special,Laborers,757,112500,Cash loans,550980,0.1002068956111346,0.0357634800925385,0.4578995512067301,1
101105,29,Secondary / secondary special,Sales staff,805,112500,Cash loans,157500,0.2258910626476954,0.4755406638212493,0.4956658291397297,0
101113,51,Higher education,High skill tech staff,9288,400500,Cash loans,1125000,0.819097044058422,0.5790247751095708,0.4848514754962666,0
101148,38,Higher education,Unknown,4963,135000,Cash loans,490536,0.5958276459973104,0.5940947237382509,0.4578995512067301,0
101158,29,Higher education,Sales staff,138,180000,Revolving loans,180000,0.2863511566519457,0.5670676763349843,0.0715326762805274,0
101172,38,Secondary / secondary special,Sales staff,2691,180000,Cash loans,382500,0.4776736004758302,0.628873702942854,0.5867400085415683,0
101178,55,Secondary / secondary special,Laborers,1101,328500,Cash loans,1190340,0.6244412437763288,0.7214758342202159,0.7449321846094795,0
101216,49,Secondary / secondary special,Medicine staff,169,135000,Cash loans,518562,0.5986641007205076,0.5217027478118521,0.6722428897082422,0
