SK_ID_CURR,AGE,NAME_EDUCATION_TYPE,OCCUPATION_TYPE,DAYS_EMPLOYED,AMT_INCOME_TOTAL,NAME_CONTRACT_TYPE,AMT_CREDIT,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,TARGET
100002,25,Secondary / secondary special,Laborers,637,202500.0,Cash loans,406597.5,0.0830369673913225,0.2629485927471776,0.1393757800997895,1
100009,37,Higher education,Accountants,3130,171000.0,Cash loans,1560726.0,0.7747614130547695,0.7239998516953141,0.4920600938649263,0
100014,27,Higher education,Core staff,679,112500.0,Cash loans,652500.0,0.3197601716755032,0.6518623334244781,0.363945238612397,0
100016,36,Secondary / secondary special,Laborers,2717,67500.0,Cash loans,80865.0,0.4648311169632833,0.7150418188660659,0.1766525794312139,0
100019,23,Secondary / secondary special,Laborers,1157,157500.0,Cash loans,299772.0,0.1156343372622997,0.34663398139668,0.6785676886853644,0
100025,40,Secondary / secondary special,Sales staff,1652,202500.0,Cash loans,1132573.5,0.4377090198475417,0.2337669575081463,0.5424451438613613,0
100030,52,Secondary / secondary special,Cleaning staff,3494,90000.0,Cash loans,225000.0,0.5619484093041138,0.6514056365297631,0.4614823912998385,0
100033,27,Higher education,unknown,1796,270000.0,Cash loans,790830.0,0.6003959050009468,0.6850109901296888,0.524496446363472,0
100043,47,Secondary / secondary special,Private service staff,768,198000.0,Cash loans,641173.5,0.8427634659543568,0.6816988025574287,0.7544061731797895,0
100044,57,Secondary / secondary special,Drivers,1288,121500.0,Cash loans,454500.0,0.8045861213121414,0.7197985370372056,0.722392890081304,0
100049,36,Secondary / secondary special,Sales staff,3597,135000.0,Cash loans,288873.0,0.4682080567974757,0.6742032101473874,0.3996756156233169,1
100055,54,Secondary / secondary special,Managers,4411,130500.0,Cash loans,1350000.0,0.7104273289168539,0.5891866296961207,0.4668640059537032,0
100058,33,Higher education,Core staff,1176,54000.0,Revolving loans,135000.0,0.6562248044601879,0.4508497225560816,0.4794489811780563,0
100059,51,Higher education,Managers,6977,540000.0,Cash loans,675000.0,0.3115099249880457,0.7133545848531052,0.3092753558842053,0
100060,33,Secondary / secondary special,unknown,778,76500.0,Cash loans,454500.0,0.2445616325354615,0.705947456699447,0.7992967832109371,0
100061,28,Higher education,Core staff,1392,225000.0,Cash loans,314055.0,0.1895957995501827,0.7029791046049891,0.7016957740576931,0
100063,35,Higher education,Managers,4106,180000.0,Cash loans,837427.5,0.5527719020519871,0.6166372926426479,0.0701088438273582,0
100068,49,Secondary / secondary special,Security staff,2351,81000.0,Revolving loans,247500.0,0.2377197192577024,0.6091352920795285,0.5136937663039473,0
100075,33,Higher education,unknown,3720,112500.0,Cash loans,95940.0,0.2996061411205129,0.6645439411246608,0.4920600938649263,0
100077,33,Secondary / secondary special,Core staff,579,180000.0,Cash loans,1256400.0,0.2867830789116058,0.6473478219828046,0.5620604831738043,0
100078,53,Higher education,Core staff,4856,180000.0,Cash loans,1035000.0,0.7961611232881004,0.5172704004425673,0.4294236843421945,0
100079,42,Secondary / secondary special,Laborers,114,225000.0,Revolving loans,270000.0,0.202477374074608,0.5619229565929612,0.4135967602644276,0
100080,32,Secondary / secondary special,Sales staff,3154,157500.0,Revolving loans,450000.0,0.4115064104251909,0.1238882922844139,0.8327850252992314,0
100082,32,Higher education,Laborers,2844,180000.0,Cash loans,450000.0,0.3577065472620613,0.6865047975453018,0.3944954053123993,0
100083,42,Secondary / secondary special,Laborers,892,103500.0,Cash loans,573628.5,0.2707661633733818,0.7071263161734994,0.5971924268337128,0
100100,43,Higher education,Managers,1094,202500.0,Cash loans,796396.5,0.4476751393608083,0.495765140717496,0.8245949709919925,0
100102,39,Secondary / secondary special,Laborers,192,126000.0,Cash loans,327024.0,0.4147940693543055,0.6611083077510267,0.4776491548517548,0
100105,54,Secondary / secondary special,Managers,8862,193500.0,Cash loans,225000.0,0.765153942091246,0.2547599571469118,0.4118485559242397,0
100111,28,Secondary / secondary special,Sales staff,1249,112500.0,Cash loans,862560.0,0.5633231337420023,0.608604105963283,0.228883416700673,0
100113,41,Secondary / secondary special,Low-skill Laborers,7980,76500.0,Cash loans,135000.0,0.4757617930038634,0.5930185238421518,0.7898803468924867,0
100114,29,Higher education,Laborers,693,135000.0,Cash loans,284400.0,0.3957242668511344,0.1549370735653434,0.2650494299443805,0
100116,40,Higher education,Core staff,6737,243000.0,Cash loans,900000.0,0.6712718925800566,0.7002735745029195,0.0710551246687366,0
100120,26,Higher education,Core staff,2953,135000.0,Cash loans,781920.0,0.2543516601822173,0.1699529509371729,0.1214082861631216,0
100122,30,Higher education,Core staff,2469,76500.0,Cash loans,808650.0,0.4055643396822132,0.0472914244045298,0.4066174366275036,0
100131,37,Secondary / secondary special,Realty agents,1169,270000.0,Cash loans,891072.0,0.3394026084270504,0.7079724741176917,0.4525335592581747,0
100132,64,Secondary / secondary special,Cleaning staff,968,202500.0,Cash loans,1136439.0,0.7748801671358985,0.7112888072636568,0.5971924268337128,0
100134,27,Secondary / secondary special,Secretaries,465,202500.0,Revolving loans,180000.0,0.3291857814541987,0.7492408359410063,0.6940926425266661,0
100139,36,Secondary / secondary special,unknown,2305,157500.0,Cash loans,302341.5,0.5677754906901958,0.6014083651352106,0.0963186927645401,0
100143,62,Higher education,Core staff,3420,162000.0,Revolving loans,270000.0,0.6594043693464781,0.6781247611812603,0.6832688314232291,0
100145,44,Secondary / secondary special,Laborers,4375,202500.0,Cash loans,260725.5,0.6470448716896019,0.7464864055627681,0.7394117535524816,0
100147,44,Secondary / secondary special,Laborers,2832,135000.0,Cash loans,518562.0,0.6846964453639659,0.4109070009841619,0.7380196196295241,0
100148,44,Secondary / secondary special,Medicine staff,8647,247500.0,Cash loans,755190.0,0.6177157988717764,0.6605593694772599,0.2115507642052577,0
100149,25,Secondary / secondary special,Low-skill Laborers,481,171000.0,Cash loans,539590.5,0.0531827887508412,0.1644631394414229,0.0920128093981064,0
